RunNumber,Livetime
6091,21650.9
6092,9366.71
6093,18193.4
6094,30249.1
6096,32678.4
6097,2569.48
6098,18511.9
6099,24694.1
6100,11189.7
6101,4018.3
6102,10194.1
6103,1694.53
6105,14964.7
6107,43003.7
6109,5523.41
6110,18943.5
6111,8737.38
6116,42236.4
6119,13810.2
6120,1949.78
6123,25170.9
6124,40195.6
6125,20837.9
6132,26148.0
6134,6626.18
6168,4377.02
6170,4011.45
6171,54246.3
6173,13393.0
6174,21276.1
6175,37097.4
6176,11610.3
6178,15348.8
6181,17132.8
6182,40688.1
6185,29192.0
6187,52265.2
6211,21177.1
6212,38266.5
6214,13325.9
6215,30500.9
6216,30807.4
6218,41520.1
6219,8126.1
6220,32534.1
6223,39493.2
6224,38338.2
6225,3730.12
6230,6113.18
6231,40400.6
6233,8552.78
6234,5218.51
6237,19095.4
6238,1511.73
6239,38148.2
6241,23773.0
6242,18865.4
6243,8895.44
6244,28430.2
6245,13624.2
6246,12645.4
6247,3292.83
6248,44410.6
6249,35535.0
6253,37910.0
6254,12776.6
6255,32501.1
6257,5628.98
6265,17367.5
6266,28446.0
6269,10480.2
6270,11284.0
6311,46566.6
6318,28751.4
6319,21627.6
6320,12367.3
6321,26684.5
6324,36276.7
6327,14712.4
6329,12874.1
6330,6672.0
6331,41281.3
6334,3870.88
6335,15776.3
6337,24983.1
6338,34208.1
6340,28084.4
6341,23327.4
6342,29382.5
6343,19906.5
6344,27000.0
6345,4659.04
6346,2170.12
6347,23702.1
6348,17487.3
6349,5751.01
6350,33029.2
6351,17263.3
6352,41265.4
6354,4633.89
6357,32414.3
6358,11224.5
6360,9586.46
6361,13852.3
6362,38173.4
6364,28167.1
6365,45761.1
6367,4433.0
6372,10170.0
6374,12364.0
6375,2724.27
6376,13919.8
6378,10758.9
6380,13820.7
6383,11877.2
6384,19952.9
6385,44738.1
6387,11800.0
6388,55201.9
6389,23960.7
6390,3999.99
6391,35779.4
6392,14242.0
6393,3181.21
6444,21311.0
6445,21847.6
6446,36201.5
6447,23324.8
6448,4254.59
6451,19205.8
6452,37697.9
6453,9108.04
6454,13438.6
6455,20778.4
6456,37485.6
6457,10718.5
6458,5616.79
6459,24873.2
6460,40151.5
6461,21193.3
6463,27915.4
6465,29016.7
6466,3722.22
6467,21015.6
6468,8483.44
6469,7707.85
6470,20465.5
6471,7841.36
6472,13107.7
6473,12170.2
6474,19734.7
6515,21106.8
6562,15229.0
6587,50894.6
6589,7070.92
6591,18762.1
6593,8917.27
6597,24470.9
6599,26402.6
6601,18721.6
6609,6649.38
6610,5240.39
6619,10255.7
6620,15440.9
6624,30039.3
6626,14809.8
6633,2848.92
6635,6231.38
6636,7543.95
6637,7530.08
6638,5725.86
6639,10031.5
6645,4798.6
6649,8434.63
6651,5014.96
6652,5009.3
6654,5766.59
6659,6970.76
6661,8850.99
6662,6236.04
6664,7469.68
6666,14017.0
6668,15434.7
6681,6979.61
6729,9477.71
6748,3579.87
6751,3582.49
6753,14374.9
6757,28768.6
6761,3012.27
6762,3571.36
6774,4577.37
6775,3648.09
6784,1469.05
6785,7832.49
6791,14364.3
6792,14371.9
6793,11986.6
6794,9103.48
6802,14372.5
6803,5697.7
6805,14377.5
6806,14376.6
6814,1612.34
6815,1756.21
6818,5790.52
6819,1469.59
6820,4809.2
6821,837.125
6824,2279.29
6827,9279.66
6829,6100.3
6860,14360.0
6861,14356.3
6862,14363.0
6863,5909.23
6864,21572.7
6865,21567.9
6866,5345.21
6867,21575.0
6868,11709.6
6871,21568.2
6872,21567.0
6873,21554.6
6874,6918.85
6877,21567.7
6880,21574.4
6888,21559.1
6889,21560.7
6890,21565.7
6892,21571.2
6893,21571.5
6894,21564.0
6895,21564.1
6896,21566.7
6897,21569.0
6898,21562.3
6899,21564.6
6901,7036.84
6902,21572.2
6903,21562.8
6904,21558.5
6905,11576.5
6909,21573.8
6910,21574.8
6911,21572.9
6916,21575.2
6917,21575.1
6918,21559.0
6922,5409.28
6927,21573.7
6928,21571.0
6929,21570.3
6930,19588.4
6940,10620.5
6941,10209.0
6960,10775.3
6961,10781.4
6962,10775.9
6963,10778.9
6965,10780.3
6966,7446.68
6970,4509.58
6976,10784.0
6977,10787.5
6978,10773.3
6979,10785.0
6981,10787.5
6982,2528.77
6984,14387.9
6985,2782.91
6986,21590.9
6987,21581.2
6988,21589.3
6992,21582.2
6994,2920.83
6995,21559.3
6998,21590.4
6999,21587.9
7000,21591.3
7002,21584.2
7003,15193.4
7004,21584.7
7005,21583.7
7006,21586.2
7008,21590.8
7010,21589.0
7011,21582.9
7012,21582.3
7015,21588.7
7016,21586.7
7017,21585.6
7018,21583.2
7020,14952.8
7021,21583.1
7022,21587.0
7023,21586.5
7025,21587.8
7026,21586.8
7033,21586.5
7034,21589.6
7035,21587.8
7036,21587.4
7038,21586.8
7042,21584.3
7043,21588.9
7044,21582.6
7046,21585.1
7050,21584.0
7054,4401.16
7071,21579.2
7102,35982.5
7104,5553.72
7130,35989.3
7132,8792.61
7161,8193.28
7162,21585.6
7163,21585.9
7164,21583.2
7165,21581.2
7166,21587.7
7168,13469.1
7169,21586.1
7170,21585.4
7171,19352.5
7172,21587.0
7173,21586.8
7174,21584.8
7175,21582.7
7177,21578.5
7178,21587.5
7179,21585.5
7180,21579.6
7181,21586.1
7182,21583.5
7183,21579.8
7184,21584.8
7186,21586.2
7187,21585.7
7189,21583.5
7190,21574.9
7191,21574.4
7192,21583.6
7193,21582.1
7194,20009.2
7195,21583.1
7198,40965.3
7199,26446.9
7203,21583.5
7204,21578.0
7205,21586.2
7206,21578.0
7207,4545.58
7209,21572.0
7210,21568.7
7211,21563.2
7212,21567.4
7213,6780.08
7215,10115.2
7217,21569.7
7218,20232.2
7221,21167.0
7222,21582.2
7223,21585.7
7224,18157.9
7226,21583.7
7227,21583.5
7228,21583.2
7229,21576.4
7231,21583.3
7232,21578.5
7233,21582.7
7234,21585.6
7235,21589.6
7236,21581.7
7237,21574.6
7238,19160.3
7248,15475.2
7251,21583.9
7258,8486.62
7259,21585.9
7260,1746.31
7261,21586.1
7262,21579.0
7263,1450.53
7294,15606.1
7295,21579.5
7296,21584.3
7297,21584.6
7298,16674.6
7301,21581.5
7302,21582.1
7303,21578.5
7304,21587.2
7305,21586.5
7306,21580.2
7308,21578.4
7309,21583.7
7310,21569.7
7311,21586.0
7312,21576.8
7313,21584.5
7314,21587.7
7315,21585.5
7317,21586.9
7318,15680.2
7321,21586.8
7322,21574.7
7323,21582.5
7324,21583.9
7325,21585.2
7326,21580.3
7328,7947.63
7329,21565.4
7330,21579.0
7331,21586.7
7332,21585.5
7333,21588.2
7334,64213.5
7336,21587.5
7337,21586.8
7338,21583.2
7339,21576.9
7340,20848.6
7341,21575.4
7342,21585.9
7343,21576.8
7346,21586.1
7347,21582.6
7348,21588.7
7350,20655.5
7354,21591.6
7357,9690.89
7359,21581.0
7360,21589.8
7362,21579.6
7368,11095.9
7371,21581.3
7372,21585.5
7373,21583.5
7375,14148.0
7379,21576.5
7380,21578.6
7381,21577.5
7383,2798.96
7395,21576.8
7396,21587.5
7397,21586.6
7401,10679.8
7402,21588.2
7403,21284.1
7404,21582.6
7406,11836.4
7407,8732.7
7408,21577.2
7409,21580.5
7410,21595.3
7412,21585.8
7413,21574.4
7414,21584.3
7415,21567.1
7417,18103.8
7422,21585.9
7423,26618.0
7425,21587.0
7426,21591.0
7427,21584.1
7428,21801.8
7430,21584.7
7431,21588.8
7432,21587.1
7433,21583.2
7435,29086.5
7436,31643.6
7437,22192.5
7438,21578.0
7439,5017.9
7440,21588.0
7441,21585.5
7442,21586.6
7444,21587.0
7445,21584.9
7447,21588.9
7448,17904.9
7450,21586.4
7451,5002.88
7452,21586.4
7453,21589.9
7455,21585.4
7460,21583.9
7461,21577.4
7462,21578.8
7465,3016.43
7467,21586.9
7468,21585.6
7469,21584.0
7470,21873.8
7472,21580.4
7473,21584.1
7474,21588.1
7475,21575.1
7476,21586.5
7477,21585.0
7478,2195.55
7479,21587.6
7481,21581.6
7482,21583.5
7483,21584.6
